Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
odata_0[19],rtr_wrap/oc_0/odata_reg_19_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[10],rtr_wrap/oc_4/odata_reg_10_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[20],rtr_wrap/oc_1/odata_reg_20_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[15],rtr_wrap/oc_2/odata_reg_15_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[22],rtr_wrap/oc_4/odata_reg_22_,0.079,1.88,1.801,MET,2,SDFF_X1
ovalid_1,rtr_wrap/oc_1/ovalid_reg,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[3],rtr_wrap/oc_3/odata_reg_3_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[28],rtr_wrap/oc_2/odata_reg_28_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[13],rtr_wrap/oc_0/odata_reg_13_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[34],rtr_wrap/oc_1/odata_reg_34_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[19],rtr_wrap/oc_4/odata_reg_19_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[25],rtr_wrap/oc_2/odata_reg_25_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[14],rtr_wrap/oc_4/odata_reg_14_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[22],rtr_wrap/oc_1/odata_reg_22_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[9],rtr_wrap/oc_2/odata_reg_9_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[0],rtr_wrap/oc_4/odata_reg_0_,0.079,1.88,1.801,MET,2,SDFF_X1
ovalid_2,rtr_wrap/oc_2/ovalid_reg,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[20],rtr_wrap/oc_0/odata_reg_20_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[31],rtr_wrap/oc_4/odata_reg_31_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[21],rtr_wrap/oc_0/odata_reg_21_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[26],rtr_wrap/oc_1/odata_reg_26_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[34],rtr_wrap/oc_4/odata_reg_34_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[26],rtr_wrap/oc_2/odata_reg_26_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[7],rtr_wrap/oc_0/odata_reg_7_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[14],rtr_wrap/oc_2/odata_reg_14_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[25],rtr_wrap/oc_3/odata_reg_25_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[6],rtr_wrap/oc_0/odata_reg_6_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_0[15],rtr_wrap/oc_0/odata_reg_15_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[24],rtr_wrap/oc_1/odata_reg_24_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_2[2],rtr_wrap/oc_2/odata_reg_2_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_3[11],rtr_wrap/oc_3/odata_reg_11_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_4[11],rtr_wrap/oc_4/odata_reg_11_,0.079,1.88,1.801,MET,2,SDFF_X1
odata_1[18],rtr_wrap/oc_1/odata_reg_18_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[23],rtr_wrap/oc_4/odata_reg_23_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[7],rtr_wrap/oc_4/odata_reg_7_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[1],rtr_wrap/oc_4/odata_reg_1_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[11],rtr_wrap/oc_1/odata_reg_11_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[5],rtr_wrap/oc_4/odata_reg_5_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[8],rtr_wrap/oc_2/odata_reg_8_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[12],rtr_wrap/oc_1/odata_reg_12_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[7],rtr_wrap/oc_2/odata_reg_7_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[2],rtr_wrap/oc_4/odata_reg_2_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_0[28],rtr_wrap/oc_0/odata_reg_28_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[16],rtr_wrap/oc_4/odata_reg_16_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[29],rtr_wrap/oc_2/odata_reg_29_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[30],rtr_wrap/oc_2/odata_reg_30_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[1],rtr_wrap/oc_2/odata_reg_1_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[7],rtr_wrap/oc_3/odata_reg_7_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[6],rtr_wrap/oc_1/odata_reg_6_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[15],rtr_wrap/oc_4/odata_reg_15_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[17],rtr_wrap/oc_4/odata_reg_17_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[6],rtr_wrap/oc_2/odata_reg_6_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[9],rtr_wrap/oc_1/odata_reg_9_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[30],rtr_wrap/oc_1/odata_reg_30_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[1],rtr_wrap/oc_3/odata_reg_1_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[31],rtr_wrap/oc_2/odata_reg_31_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[3],rtr_wrap/oc_4/odata_reg_3_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[18],rtr_wrap/oc_4/odata_reg_18_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[2],rtr_wrap/oc_3/odata_reg_2_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[23],rtr_wrap/oc_1/odata_reg_23_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[33],rtr_wrap/oc_1/odata_reg_33_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[5],rtr_wrap/oc_2/odata_reg_5_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[12],rtr_wrap/oc_2/odata_reg_12_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[25],rtr_wrap/oc_4/odata_reg_25_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[10],rtr_wrap/oc_3/odata_reg_10_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[26],rtr_wrap/oc_4/odata_reg_26_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[4],rtr_wrap/oc_4/odata_reg_4_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[6],rtr_wrap/oc_4/odata_reg_6_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[21],rtr_wrap/oc_4/odata_reg_21_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[33],rtr_wrap/oc_2/odata_reg_33_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[32],rtr_wrap/oc_2/odata_reg_32_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[23],rtr_wrap/oc_2/odata_reg_23_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[20],rtr_wrap/oc_4/odata_reg_20_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[16],rtr_wrap/oc_2/odata_reg_16_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[6],rtr_wrap/oc_3/odata_reg_6_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[4],rtr_wrap/oc_3/odata_reg_4_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_4[24],rtr_wrap/oc_4/odata_reg_24_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_3[5],rtr_wrap/oc_3/odata_reg_5_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[32],rtr_wrap/oc_1/odata_reg_32_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[19],rtr_wrap/oc_2/odata_reg_19_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_1[29],rtr_wrap/oc_1/odata_reg_29_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[17],rtr_wrap/oc_2/odata_reg_17_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[22],rtr_wrap/oc_2/odata_reg_22_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[34],rtr_wrap/oc_2/odata_reg_34_,0.078,1.88,1.802,MET,2,SDFF_X1
odata_2[18],rtr_wrap/oc_2/odata_reg_18_,0.078,1.88,1.802,MET,2,SDFF_X1
